Prot_A,Prot_B,score,Disease
TUBB3,MAPT,0.987,Alzheimer's Disease
TUBB3,TUBA1A,0.999,Alzheimer's Disease
TUBB3,TUBA1B,0.999,Alzheimer's Disease
GSK3B,MAPT,0.999,Alzheimer's Disease
TUBA8,MAPT,0.961,Alzheimer's Disease
TUBA1B,TUBA1A,0.966,Alzheimer's Disease
TUBA1B,MAPT,0.995,Alzheimer's Disease
MAPT,IGLL5,0.968,Alzheimer's Disease
MAPT,YWHAZ,0.974,Alzheimer's Disease
MAPT,CAMK2A,0.976,Alzheimer's Disease
MAPT,TUBA1A,0.978,Alzheimer's Disease
MAPT,FYN,0.994,Alzheimer's Disease
MAPT,SNCA,0.994,Alzheimer's Disease
MAPT,CDK5,0.999,Alzheimer's Disease
FYN,SNCA,0.836,Alzheimer's Disease
FYN,CDK5,0.951,Alzheimer's Disease
RPL19,NPSR1,0.959,Alzheimer's Disease
RPL19,RPL8,0.999,Alzheimer's Disease
RPL19,RPL23A,0.999,Alzheimer's Disease
RPL19,RPS15,0.999,Alzheimer's Disease
RPL19,RPS8,0.999,Alzheimer's Disease
RPL19,RPS6,0.999,Alzheimer's Disease
RPL19,RPS19,0.999,Alzheimer's Disease
RPL19,RPL15,0.999,Alzheimer's Disease
RPL19,RPL5,0.999,Alzheimer's Disease
RPL19,RPS18,0.999,Alzheimer's Disease
RPL19,RPL11,0.999,Alzheimer's Disease
RPL19,RPS24,0.999,Alzheimer's Disease
RPL19,RPL13,0.999,Alzheimer's Disease
RPL19,RPL6,0.999,Alzheimer's Disease
RPL19,FAU,0.999,Alzheimer's Disease
RPL19,RPS3,0.999,Alzheimer's Disease
RPL19,RPS23,0.999,Alzheimer's Disease
RPL19,RPL21,0.999,Alzheimer's Disease
RPL19,RPS11,0.999,Alzheimer's Disease
RPL8,NPSR1,0.949,Alzheimer's Disease
RPL8,RPS8,0.999,Alzheimer's Disease
RPL8,RPS15,0.999,Alzheimer's Disease
RPL8,RPS6,0.999,Alzheimer's Disease
RPL8,RPL23A,0.999,Alzheimer's Disease
RPL8,RPL13,0.999,Alzheimer's Disease
RPL8,RPL6,0.999,Alzheimer's Disease
RPL8,RPL11,0.999,Alzheimer's Disease
RPL8,RPS24,0.999,Alzheimer's Disease
RPL8,RPL5,0.999,Alzheimer's Disease
RPL8,RPS18,0.999,Alzheimer's Disease
RPL8,RPS19,0.999,Alzheimer's Disease
RPL8,RPL15,0.999,Alzheimer's Disease
RPL8,RPS23,0.999,Alzheimer's Disease
RPL8,RPS3,0.999,Alzheimer's Disease
RPL8,FAU,0.999,Alzheimer's Disease
RPL8,RPS11,0.999,Alzheimer's Disease
RPL8,RPL21,0.999,Alzheimer's Disease
RPS11,NPSR1,0.95,Alzheimer's Disease
RPS11,RPL13,0.999,Alzheimer's Disease
