Acetylcholine-gated channel,Oxidation-reduction process,Cell surface receptor signaling pathway,Positivie regulation of peptidyl-tyrosine phosphorilation,Axon,Voltage-gated calcium channel complex,Adenylate cyclase activity,Transcription coregulator activity,Neuropeptide signaling pathway,Protease binding,Magnesium ion binding,Transmembrane receptor protein tyrosine kinase signaling,Early endosome,Ubiquitin protein ligase activity,B cell differentiation,Insulin receptor siganling pathway,Histone deacetylase binding,Chemokine-mediated signaling pathway,GABA-A receptor complex,RNA pol II distal enhancer sequence-specific DNA binding
,P16152,P49286,P40225,,,,,,P02751,,,,,,,,,,
,Q13148,O14626,P61586,,,,,,P01008,,,,,,,,,,
,O95406,Q13255,Q30154,,,,,,,,,,,,,,,,
,O60218,Q15077,P29350,,,,,,,,,,,,,,,,
,P26599,P32121,Q9NRA1,,,,,,,,,,,,,,,,
,P04054,P20382,P49767,,,,,,,,,,,,,,,,
,Q13093,Q99571,P08620,,,,,,,,,,,,,,,,
,P00403,P35367,P21781,,,,,,,,,,,,,,,,
,C9JRZ8,P25098,P22607,,,,,,,,,,,,,,,,
,Q9UGJ0,O95665,O60462,,,,,,,,,,,,,,,,
,Q16558,Q9NZN5,P52735,,,,,,,,,,,,,,,,
,O43390,,P01920,,,,,,,,,,,,,,,,
,Q9H0N5,,Q01344,,,,,,,,,,,,,,,,
,O43741,,P11686,,,,,,,,,,,,,,,,
,P61457,,P09038,,,,,,,,,,,,,,,,
,,,Q96B97,,,,,,,,,,,,,,,,
,,,P49765,,,,,,,,,,,,,,,,
,,,Q14114,,,,,,,,,,,,,,,,
,,,O43623,,,,,,,,,,,,,,,,
,,,P05113,,,,,,,,,,,,,,,,
,,,P09919,,,,,,,,,,,,,,,,
,,,P29317,,,,,,,,,,,,,,,,
,,,A6NHQ4,,,,,,,,,,,,,,,,
,,,P01906,,,,,,,,,,,,,,,,
,,,P05019,,,,,,,,,,,,,,,,
,,,P31785,,,,,,,,,,,,,,,,
,,,P14317,,,,,,,,,,,,,,,,
,,,P52803,,,,,,,,,,,,,,,,
,,,P20036,,,,,,,,,,,,,,,,
,,,P20936,,,,,,,,,,,,,,,,
,,,Q13177,,,,,,,,,,,,,,,,
,,,O14713,,,,,,,,,,,,,,,,
,,,O15357,,,,,,,,,,,,,,,,
,,,O95760,,,,,,,,,,,,,,,,
,,,Q9GZP0,,,,,,,,,,,,,,,,
,,,P01116,,,,,,,,,,,,,,,,
,,,O76093,,,,,,,,,,,,,,,,
