Title,PhaseScreenScore
LA_106E,1.476
LA_51Z,1.475
LA_41Z,1.475
Andrea-2_14Z,1.473
LA_80E,1.472
CJ_24E,1.471
Andrea_9Z,1.47
Andrea-2_9Z,1.47
LA_44Z,1.466
LA_139Z,1.461
CA-C12Z,1.461
Laug_65,1.459
LA_60Z,1.458
CA-A12Z,1.457
Andrea_14Z,1.456
LA_143Z,1.455
Pila_17D,1.452
LA_60E,1.45
LA_31E,1.45
LA_31Z,1.45
LA_143E,1.449
LA_51E,1.448
LA_27E,1.446
LA_27Z,1.446
LA_74E,1.439
LA_86E,1.435
LA_136Z,1.432
LA_57Z,1.431
Youn_9,1.421
LA_97Z,1.419
LA_133E,1.408
CA-C7E,1.402
LA_139E,1.399
LA_47E,1.394
CJ_4,1.393
LA_57E,1.392
CA-D13E,1.391
LA_44E,1.387
LA_41E,1.386
CA-D12E,1.384
LA_97E,1.382
LA_115E,1.377
LA_133Z,1.375
CJ_20Z,1.373
CJ_20E,1.373
LA_47Z,1.369
Youn_52,1.366
LA_106Z,1.365
LA_74Z,1.363
CJ_15Z,1.362
LA_86Z,1.359
RA_64,1.358
Pila_R132,1.356
CA-F13E,1.35
LA_80Z,1.342
NMAR_4,1.341
CA-F7E,1.339
My_349,1.338
LA_68E,1.334
LA_68Z,1.334
CA-D7E,1.331
LA_115Z,1.329
CA-B7E,1.32
My_15,1.315
CA-C12E,1.272
Laug_88,1.27
LA_136E,1.259
Sara-2_134,1.163
Roxi_15A1,1.157
Pila_R131,1.142
Albe_13,1.141
My_84B,1.09
CJ_24Z,1.083
My_52,0.992
CA-B19S,0.98
Laug_67,0.911
Laug_60,0.903
Laug_68,0.902
Laug_95,0.898
Laug_7,0.868
Laug_9,0.864
Laug_2,0.859
Laug_1,0.854
Laug_6,0.852
CA-B19R,0.851
Raul_11,0.847
Laug_92,0.828
NMAR_8,0.819
CA-D1S,0.765
NMAR_14,0.751
CA-F1S,0.735
Raul_10,0.728
Laug_93,0.72
Ana_R5,0.701
CA-D1R,0.701
Laug_8,0.7
CA-F1R,0.684
Ana_R10,0.655
My_94,0.601
Dani_14,0.542
ePharma_3E22_LOC,
Pila_ACO,2.35
CA-B19S,2.345
Rafa_RPO95C,2.313
Youn_4crist,2.305
Pila_ACF47,2.305
Pila_ACK,2.303
RA_52R,2.29
RA_48R,2.289
Rafa_65,2.288
RA_45,2.28
CA-C2,2.279
CA-E2,2.277
CA-A2,2.276
RA-30,2.274
Rafa_35,2.273
CA-F16S,2.273
RA_51,2.266
RA_46,2.265
RA-23,2.264
RA-22,2.261
RA_56,2.259
CA-A3R,2.258
CJ_5,2.258
RA-19,2.256
Rafa_3B,2.256
Youn_100,2.25
Youn_18,2.248
CJ_19,2.247
LA_32,2.247
CJ_8,2.246
Youn_51,2.245
Youn_47,2.245
CJ_11,2.244
CA-B7E,2.243
CA-B3R,2.242
CA-D7E,2.242
CA-E7E,2.239
Rafa_55,2.237
RA-25,2.237
Rome_2,2.236
CJ_2,2.235
CA-B2,2.231
CA-F7E,2.225
CA-C7E,2.225
CA-D13E,2.224
LA_54,2.224
RA_61E,2.221
Youn_85,2.221
CJ_4,2.221
CA-F13E,2.219
Youn_127,2.218
RA-38,2.215
RA-20,2.215
LA_34,2.214
CA-E1R,2.214
CA-A7E,2.213
RA-32,2.213
Youn_10c,2.211
CA-E11E,2.208
CA-C13Z,2.207
Youn_34,2.207
LA_86E,2.206
LA_60E,2.206
CA-A4,2.206
LA_51E,2.205
RA-24,2.204
Ruth_2B,2.203
CA-E1S,2.203
CA-B8E,2.201
RA_47,2.201
LA_31E,2.198
LA_31Z,2.198
LA_50,2.198
Youn_9,2.198
Rafa_4B,2.196
Rome_6,2.195
RA_54,2.195
Pila_R22,2.194
Youn_37,2.192
CA-C4,2.192
Youn_24,2.192
RA-34,2.189
RA_49,2.188
LA_53,2.187
LA_29,2.187
RA_43,2.186
RA-39,2.185
CJ_15Z,2.185
LA_139E,2.184
LA_30,2.184
CJ_14,2.183
CJ_7,2.182
RA-35,2.181
Youn_41,2.179
Pila_ACL,2.178
CJ_15E,2.178
CA-C12E,2.177
LA_55,2.174
